Area,Clave_carrera,Codigo_opcion,Carrera,Plantel,Modalidad,URL_resultados,Estado_extraccion,Filas_extraidas,Seleccionados_extraidos,Duracion_segundos,Error,Concurso,Oferta,Aspirantes,Presentaron_examen,Aciertos_minimos,Seleccionados
2,211,21101005,QUIMICA,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21101005.html,Completado,64,0,0.22,,Licenciatura 2026,38,64,44,40,40
2,212,21200055,QUIMICA DE ALIMENTOS,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21200055.html,Completado,143,0,0.21,,Licenciatura 2026,48,143,112,70,48
2,213,21300055,QUIMICA FARMACEUTICO BIOLOGICA,FACULTAD DE QUÍMICA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21300055.html,Completado,333,0,0.24,,Licenciatura 2026,60,333,226,79,111
2,213,21305005,QUIMICA FARMACEUTICO BIOLOGICA,FES ZARAGOZA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21305005.html,Completado,261,0,0.24,,Licenciatura 2026,55,261,165,65,84
2,214,21401005,QUIMICA INDUSTRIAL,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/2/21401005.html,Completado,157,0,0.23,,Licenciatura 2026,60,157,87,45,65
3,301,30100065,ADMINISTRACION,FACULTAD DE CONTADURÍA Y ADMINISTRACIÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30100065.html,Completado,2144,0,0.8,,Licenciatura 2026,390,2144,1222,67,457
3,301,30101005,ADMINISTRACION,FES CUAUTITLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30101005.html,Completado,525,0,0.57,,Licenciatura 2026,240,525,344,43,271
3,301,30107005,ADMINISTRACION,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD MORELIA,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30107005.html,Completado,27,0,0.23,,Licenciatura 2026,45,27,10,42,8
3,301,30111005,ADMINISTRACION,"ESCUELA NAL. DE ESTUDIOS SUP. OAXACA, OAX.",Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30111005.html,Completado,333,0,0.25,,Licenciatura 2026,40,333,162,40,143
3,314,31406005,ADMINISTRACION AGROPECUARIA,ESCUELA NAL. DE ESTUDIOS SUP. UNIDAD LEÓN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31406005.html,Completado,32,0,0.23,,Licenciatura 2026,35,32,26,40,20
3,319,31900045,ANTROPOLOGIA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/31900045.html,Completado,153,0,0.2,,Licenciatura 2026,90,153,112,50,95
3,302,30200045,CIENCIAS DE LA COMUNICACION,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30200045.html,Completado,366,0,0.3,,Licenciatura 2026,69,366,231,72,87
3,303,30300045,CIENCIAS POLITICAS Y ADMON PUBLICA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30300045.html,Completado,221,0,0.44,,Licenciatura 2026,61,221,138,63,70
3,303,30302005,CIENCIAS POLITICAS Y ADMON PUBLICA,FES ACATLÁN,Escolarizado,https://www.dgae.unam.mx/Licenciatura2026/resultados_control/3/30302005.html,Completado,245,0,0.26,,Licenciatura 2026,70,245,165,52,94
